#prior_probability=0.1																	
feature_id	bayes_factor	posterior_probability	alpha0	alpha1	eta1_0	mu_TH1_MCF7.gene	mu_TH2_MCF7.gene	mu_TH3_MCF7.gene	mu_TD1_MCF7.gene	mu_TD2_MCF7.gene	mu_TD3_MCF7.gene		sd_TH1_MCF7.gene	sd_TH2_MCF7.gene	sd_TD1_MCF7.gene	sd_TD2_MCF7.gene	sd_TD3_MCF7.gene
PB2015.10081	0.254496	0.0274997	-0.0467923	-0.0516179	0.194719	0.012027	-0.0248749	0.157944	0.195241	-0.269037	-0.481939	0.164211	0.178476	0.144441	0.147147	0.174536	0.215161
PB2015.10082	0.390039	0.0415375	3.46054	3.45795	0.201859	3.6527	3.56252	3.47548	3.38182	3.4011	3.2854	0.0264704	0.027274	0.0266266	0.0315123	0.0277228	0.0321867
PB2015.10083	0.123471	0.0135333	3.96211	3.95976	-0.0810095	3.91586	3.98901	3.85598	3.98839	4.03648	3.98236	0.0373695	0.0330285	0.0327327	0.0305628	0.0268061	0.0289513
PB2015.10084	2.13652	0.191848	4.04343	4.04648	0.560004	4.57116	4.27129	4.20588	3.87833	3.60431	3.77128	0.0377232	0.0438319	0.042281	0.0510343	0.0541862	0.0536971
PB2015.10085	0.0698	0.00769587	3.17634	3.17553	-0.0260418	3.05209	3.22131	3.2052	3.14743	3.21579	3.20663	0.0358061	0.0277488	0.0294556	0.0277715	0.0261962	0.0273348
PB2015.10086	1.96611	0.179289	4.82557	4.82646	-0.127283	4.76808	4.76175	4.75882	4.89052	4.88786	4.8921	0.0148562	0.0143827	0.0130317	0.0119256	0.0117391	0.0121102
PB2015.10087	0.0751036	0.00827579	2.73572	2.73536	-0.0401286	2.7563	2.67296	2.71439	2.79713	2.71697	2.74681	0.100651	0.104812	0.0896415	0.07056	0.0783504	0.084916
PB2015.10088	0.105481	0.0115843	2.3646	2.36476	-0.0848054	2.37159	2.33053	2.25651	2.45631	2.38184	2.37771	0.0579749	0.0591719	0.058188	0.0505524	0.0527471	0.0523086
PB2015.10089	0.0419605	0.00464064	1.8393	1.83797	0.0299271	1.852	1.87784	1.83115	1.81128	1.84588	1.81402	0.0383328	0.0363617	0.0357008	0.0344981	0.0347809	0.0365978
PB2015.1009	0.141834	0.0155149	2.96571	2.96429	-0.0936748	2.9621	2.93979	2.8425	2.9881	2.99452	3.06119	0.0353524	0.0340891	0.0348391	0.0304441	0.0304623	0.0332464
PB2015.10090	0.200044	0.0217438	-0.709408	-0.711331	0.157115	-0.485396	-0.668105	-0.732225	-0.798533	-0.680246	-0.941027	0.173592	0.199885	0.176202	0.182194	0.171988	0.212181
PB2015.10091	4.33714	0.325193	0.65005	0.644892	0.900639	1.58346	0.947311	0.916941	0.200423	0.201135	0.00720853	0.089974	0.122999	0.110948	0.164272	0.168099	0.185019
PB2015.10092	0.384322	0.0409537	4.14964	4.15091	-0.120928	4.03909	4.11148	4.12064	4.22378	4.20008	4.21445	0.0116954	0.0114581	0.0104747	0.010265	0.00968731	0.0104938
