transcript,control_minus_DMS_fp_10_coverage
PB2015.14959.2,174.847619048
PB2015.8573.3,174.742268041
PB2015.930.3,174.700014519
PB2015.3625.17,174.658953368
PB2015.14100.1,174.601808318
PB2015.14221.5,174.586575254
PB2015.16092.4,174.557585796
PB2015.4683.7,174.441745731
PB2015.910.1,174.120731707
PB2015.16868.3,174.021855205
PB2015.254.5,173.867109603
PB2015.7139.2,173.831215916
PB2015.8904.1,173.5
PB2015.6717.6,173.412390529
PB2015.6717.3,173.344379623
PB2015.13847.1,173.278870674
PB2015.8522.3,173.226354905
PB2015.13491.1,173.084697927
PB2015.10186.23,173.020274862
PB2015.2514.3,172.920603475
PB2015.12264.3,172.295185723
PB2015.9267.5,172.136842105
PB2015.11415.14,171.822537711
PB2015.2019.1,171.747212121
PB2015.7723.1,171.4
PB2015.8522.5,171.358208393
PB2015.13137.1,171.327224436
PB2015.10503.3,171.004679745
PB2015.10960.7,170.93713034
PB2015.7139.1,170.547617048
PB2015.6861.3,170.49375
PB2015.2143.4,170.405751947
PB2015.3676.11,170.403080308
PB2015.7299.7,170.395004074
PB2015.9162.3,170.315477225
PB2015.8171.1,170.299288256
PB2015.14427.6,170.177144403
PB2015.1206.1,170.015968992
PB2015.14907.6,169.977470455
PB2015.8893.8,169.841102161
PB2015.9650.2,169.8
PB2015.8344.1,169.744897959
PB2015.921.1,169.7
PB2015.7019.3,169.685089514
PB2015.3846.1,169.666115702
PB2015.16046.5,169.648333711
PB2015.7139.4,169.536897384
PB2015.5226.1,169.480601742
PB2015.7921.2,169.413740458
PB2015.10549.3,169.380955376
PB2015.9128.7,169.293506494
PB2015.1337.3,169.289877613
PB2015.2350.8,169.129880843
PB2015.13300.3,169.029771557
PB2015.2251.12,169.000541036
PB2015.8321.7,168.867746509
PB2015.13300.6,168.862050608
PB2015.9619.1,168.753115727
PB2015.12897.1,168.563640673
PB2015.2599.5,168.472576336
PB2015.7120.4,168.148850882
PB2015.14049.5,167.84830106
PB2015.12665.1,167.770025402
PB2015.11425.6,167.654179743
PB2015.14783.1,167.253239622
PB2015.16546.1,167.165133946
PB2015.4610.3,167.163434903
PB2015.10594.4,167.126666667
PB2015.2959.5,167.098376015
PB2015.12766.5,167.007501218
PB2015.15122.1,166.785420283
PB2015.3851.1,166.629016923
PB2015.824.3,166.521674132
PB2015.16046.1,166.295739348
PB2015.6837.1,166.136883687
PB2015.16722.11,166.033387358
PB2015.832.1,165.950808848
PB2015.12254.3,165.840498253
PB2015.11906.7,165.817009901
PB2015.8724.1,165.703742302
PB2015.588.1,165.682803738
PB2015.7911.2,165.569889503
PB2015.9895.4,165.348238087
PB2015.10077.1,165.17215428
PB2015.7794.9,164.990228265
PB2015.479.4,164.874750576
PB2015.11725.9,164.825232088
PB2015.15275.2,164.702441877
PB2015.9760.5,164.679947758
PB2015.16413.5,164.587794433
PB2015.16391.2,164.470748405
PB2015.9511.1,164.090615385
PB2015.6427.8,164.08087421
PB2015.9867.8,163.833509003
PB2015.9760.12,163.506897406
PB2015.6479.8,163.496194332
PB2015.3625.9,163.337916479
PB2015.13300.5,163.240378186
PB2015.5571.7,163.208653846
PB2015.13444.3,163.129201998
PB2015.4354.4,162.91783374
PB2015.2789.2,162.72882736
PB2015.16092.3,162.660524691
PB2015.7044.1,162.634520548
PB2015.16140.3,162.631641588
PB2015.6843.2,162.553401797
PB2015.4309.2,162.385037551
PB2015.1997.1,162.207006369
PB2015.9760.2,162.101672091
PB2015.4683.1,161.942937063
PB2015.10186.4,161.460505667
PB2015.15372.1,161.436430318
PB2015.10186.25,161.246810773
PB2015.15510.2,161.00630137
PB2015.5546.2,160.997795591
PB2015.12227.1,160.856951872
PB2015.9867.9,160.796526055
PB2015.5662.5,160.709959499
PB2015.7714.4,160.704579591
PB2015.551.1,160.673880597
PB2015.5226.2,160.6584
PB2015.7911.1,160.277041801
PB2015.426.3,160.028381375
PB2015.15392.3,159.921696347
PB2015.10634.1,159.777248954
PB2015.13703.2,159.770526316
PB2015.5196.7,159.522826387
PB2015.14945.3,159.103319502
PB2015.16222.7,159.072086889
PB2015.10604.15,159.049804408
PB2015.9267.8,159.043902439
PB2015.11415.13,159.019250513
PB2015.3555.30,158.979229561
PB2015.12612.1,158.913911822
PB2015.15752.1,158.796020583
PB2015.13837.6,158.776765148
PB2015.3039.3,158.516161616
PB2015.13137.4,158.493589744
PB2015.2465.3,158.453820561
PB2015.13801.4,158.427642276
PB2015.1262.7,158.395576408
PB2015.7332.8,158.27043863
PB2015.16776.9,158.263266454
PB2015.11578.1,158.175646552
PB2015.4648.1,158.117183771
PB2015.13672.1,158.040501044
PB2015.9470.5,158.010585918
PB2015.1525.1,157.838831219
PB2015.10179.1,157.705882353
PB2015.16723.1,157.594079481
PB2015.14839.1,157.552647975
PB2015.8882.7,157.545756283
PB2015.6969.5,157.513712205
PB2015.1377.1,157.513654096
PB2015.426.4,157.469191686
PB2015.6479.4,156.982320442
PB2015.7921.1,156.908301475
PB2015.10693.5,156.907066223
PB2015.803.3,156.771390255
PB2015.6135.1,156.58368
PB2015.1981.3,156.567211474
PB2015.8390.1,156.395798319
PB2015.14796.1,156.170320856
PB2015.14779.3,156.139285714
PB2015.11412.3,156.116688852
PB2015.16186.6,155.97451391
PB2015.3269.2,155.875250501
PB2015.13537.1,155.453053927
PB2015.9760.1,155.386710098
PB2015.15372.6,155.309756547
PB2015.13848.3,155.286114352
PB2015.7794.10,155.108719553
PB2015.13309.10,155.07398729
PB2015.8389.1,154.971428571
PB2015.13300.4,154.750659173
PB2015.3540.4,154.574676176
PB2015.3583.1,154.423425958
PB2015.14047.7,154.359724613
PB2015.13309.16,154.260768828
PB2015.5919.2,154.22719603
PB2015.2465.1,154.055288013
PB2015.15705.10,154.016720732
PB2015.10248.3,153.972996063
PB2015.3955.1,153.966360294
PB2015.16845.5,153.961956522
PB2015.11340.18,153.7634418
PB2015.4977.4,153.639493671
PB2015.13244.3,153.401530116
PB2015.12452.7,153.367955801
PB2015.4337.1,153.170923097
PB2015.16413.7,152.8212
PB2015.15392.16,152.778107067
PB2015.14226.3,152.766352683
PB2015.1804.6,152.76
PB2015.8955.1,152.638603989
PB2015.14444.1,152.575839358
PB2015.15275.3,152.340994121
PB2015.6737.1,152.308230307
PB2015.12582.1,152.23202491
PB2015.13204.2,152.169832402
PB2015.8912.11,152.097421203
PB2015.10960.4,152.078017241
PB2015.7921.3,151.977607025
PB2015.8858.2,151.589459337
PB2015.4844.4,151.55
PB2015.3625.16,151.525056928
PB2015.4850.3,151.52195122
PB2015.794.1,151.439329797
PB2015.3415.2,151.434166438
PB2015.16619.2,151.421203563
PB2015.6781.1,151.414360771
PB2015.869.2,151.207600239
PB2015.973.1,150.814608696
PB2015.10980.2,150.645454545
PB2015.3676.7,150.617807707
PB2015.16413.6,150.570298823
PB2015.12452.1,150.516209035
PB2015.3379.4,150.50812369
PB2015.7139.7,150.216586483
PB2015.11598.2,150.210548347
PB2015.9760.8,150.201056669
PB2015.6861.7,150.172539548
PB2015.8539.7,150.157842664
PB2015.2847.10,149.963087401
