transcript,hippuristanol_minus_DMS_fp_10_coverage
PB2015.12077.7,158.430315789
PB2015.13837.6,158.258856346
PB2015.13844.1,158.084671533
PB2015.2251.12,158.071307207
PB2015.14015.1,157.84358817
PB2015.7921.1,157.793496701
PB2015.11569.1,157.734185734
PB2015.11725.9,157.652123796
PB2015.15372.6,157.488709145
PB2015.12178.1,157.441921397
PB2015.11148.4,157.326883207
PB2015.3529.2,157.251641362
PB2015.2847.10,157.170605811
PB2015.15314.4,157.030927835
PB2015.11641.4,157.019322799
PB2015.5199.1,156.900003873
PB2015.7911.1,156.595598264
PB2015.16140.3,156.573706075
PB2015.3006.1,156.517943806
PB2015.15275.3,156.341358924
PB2015.13300.4,156.33935011
PB2015.4870.8,156.319547021
PB2015.3851.1,156.229554807
PB2015.5196.7,156.191563636
PB2015.3006.2,156.068852459
PB2015.10186.4,155.945618869
PB2015.14427.6,155.612682241
PB2015.4537.1,155.471191554
PB2015.9760.12,155.352635311
PB2015.4977.4,155.103178484
PB2015.9895.4,154.610246569
PB2015.16114.1,154.438053097
PB2015.9760.5,154.374868772
PB2015.9619.1,154.125922131
PB2015.12220.3,153.712423625
PB2015.4363.1,153.505197505
PB2015.4337.1,153.415794558
PB2015.2465.3,153.382202474
PB2015.10248.3,153.367285045
PB2015.7139.1,153.293933442
PB2015.5961.1,153.282673267
PB2015.16103.4,153.278520286
PB2015.15392.16,152.93586636
PB2015.3540.4,152.908411005
PB2015.7794.9,152.826529142
PB2015.3846.1,152.75349607
PB2015.15372.1,152.71763189
PB2015.3625.16,152.624065358
PB2015.11425.7,152.602669079
PB2015.426.3,152.586585366
PB2015.9277.1,152.541818182
PB2015.9760.2,152.491583665
PB2015.3583.1,152.296239908
PB2015.8995.3,152.218534254
PB2015.13245.1,152.110123762
PB2015.16722.11,152.058644537
PB2015.3555.30,152.03966346
PB2015.14444.1,151.96873197
PB2015.11489.10,151.715568862
PB2015.13444.3,151.670292409
PB2015.8960.4,151.614570361
PB2015.16174.3,151.421964336
PB2015.11494.1,151.419847328
PB2015.8888.3,151.346687211
PB2015.4610.3,151.293584906
PB2015.6479.4,151.233766234
PB2015.4739.2,151.203857225
PB2015.7714.4,151.158107904
PB2015.10083.4,151.134517766
PB2015.15510.2,151.05368171
PB2015.8882.7,151.051950355
PB2015.5230.9,151.051630435
PB2015.13847.1,151.015320911
PB2015.1262.7,150.931578947
PB2015.6781.1,150.877852349
PB2015.8955.1,150.868501451
PB2015.10186.17,150.826726651
PB2015.2465.1,150.749604824
PB2015.6427.7,150.745196791
PB2015.15149.1,150.735643564
PB2015.9470.5,150.623295676
PB2015.1525.1,150.564437145
PB2015.12507.4,150.434791667
PB2015.10186.13,150.312843924
PB2015.16776.9,150.165452788
PB2015.5662.5,150.054187605
PB2015.16186.4,149.954648094
PB2015.11599.2,149.78306174
PB2015.16226.1,149.605351171
PB2015.7921.3,149.486024551
PB2015.13244.3,149.45110712
PB2015.15122.1,149.345119357
PB2015.6843.2,149.266490066
PB2015.426.4,149.264798599
PB2015.2379.1,149.137680276
PB2015.13309.10,149.119969599
PB2015.13672.1,149.104955527
PB2015.7120.4,148.983022524
PB2015.3821.6,148.911619506
PB2015.3039.3,148.839228296
PB2015.6135.1,148.748338369
PB2015.11425.6,148.742629482
PB2015.3415.2,148.4713858
PB2015.1934.1,148.358208955
PB2015.8885.1,148.236090226
PB2015.1860.2,148.223733964
PB2015.869.2,148.21886379
PB2015.13309.16,148.199244717
PB2015.12900.5,148.163636364
PB2015.13676.2,148.024045188
PB2015.8767.1,147.882926829
PB2015.9211.2,147.581658692
PB2015.12097.1,147.506196378
PB2015.15240.4,147.37440325
PB2015.8388.1,147.319148936
PB2015.15422.2,147.25489961
PB2015.16722.17,147.214599686
PB2015.1337.1,147.213915725
PB2015.12227.1,147.147474747
PB2015.12183.7,147.084161787
PB2015.15240.5,147.031476998
PB2015.14779.3,147.0105939
PB2015.254.1,146.949576249
PB2015.6674.4,146.869712352
PB2015.15705.10,146.798450298
PB2015.11556.8,146.796239605
PB2015.15318.2,146.782697063
PB2015.7332.8,146.779995348
PB2015.16148.2,146.76669878
PB2015.11412.3,146.715778636
PB2015.9760.1,146.566311038
PB2015.9128.7,146.506956522
PB2015.2599.6,146.4
PB2015.10186.25,146.17822978
PB2015.4648.1,146.167427568
PB2015.3676.6,146.035666518
PB2015.10604.15,146.015543709
PB2015.11556.11,145.884854642
PB2015.13963.1,145.714664744
PB2015.15752.7,145.476412842
PB2015.439.6,145.091157236
