transcript,control_fpUTR_max,control_fpUTR_average,control_fpUTR_std,control_fpUTR_gini
PB2015.15928.1,0.162333333333,0.029111111111074076,0.055428298695606656,0.797662802752
PB2015.12624.1,1.812,0.5060695970695568,0.47935311649816387,0.516805892197
PB2015.13411.1,1.43033333333,0.20273224043709015,0.3103659237560861,0.725029163537
PB2015.13411.6,1.36166666667,0.19628571428571429,0.298450878321212,0.722915007256
PB2015.1930.1,0.965666666667,0.1624810379242036,0.22266572425247125,0.674446004984
PB2015.1930.2,0.912,0.19529353233838806,0.22701649564474013,0.606765428982
PB2015.15928.6,1.417,0.10381746031748675,0.1963461544270133,0.759324785049
PB2015.13842.2,1.293,0.14880392156865,0.28241174939049735,0.79816108648
PB2015.13842.3,1.27366666667,0.31988135593225425,0.3575134030792644,0.598385102204
PB2015.13842.1,1.65366666667,0.37235897435888615,0.45244001843614073,0.634186433316
PB2015.16480.1,0.267666666667,0.04231666666669999,0.0751079081747121,0.780147477135
PB2015.13557.16,1.022,0.18345205479453178,0.20027931310250194,0.566388029656
PB2015.9581.2,1.56966666667,0.276870967742087,0.4761436688508888,0.770081894818
PB2015.2264.5,0.635,0.17924999999986563,0.1653308131527547,0.505012203626
PB2015.14933.1,0.607,0.08003058103972477,0.13070854148088135,0.74020325816
PB2015.8427.2,1.13366666667,0.31625714285722,0.2839001958070376,0.482443890918
PB2015.6214.2,0.652666666667,0.1597258064516177,0.1702541272000463,0.573935453469
PB2015.2232.1,NA,NA,NA,NA
PB2015.15641.10,1.007,0.17923931623932438,0.272686956684748,0.72246533369
PB2015.4419.3,1.72133333333,0.12020735785955854,0.33217164925488146,0.893861701005
PB2015.4419.2,1.679,0.11753896103904869,0.3216831774650625,0.891801557925
PB2015.13557.12,0.817,0.0760137457044402,0.1506088058888911,0.801603251244
PB2015.14055.1,1.328,0.306133333333275,0.3440535471888392,0.591204812718
PB2015.2370.1,1.26766666667,0.16003703703715555,0.29086274580987914,0.784824500502
PB2015.10871.1,1.49633333333,0.2763421052632406,0.2933755258558094,0.555938818573
PB2015.10871.2,1.005,0.054782273603092485,0.14936956188752817,0.877248138546
PB2015.9148.5,1.17,0.10424747474745455,0.2397009522307861,0.851358652168
PB2015.9148.4,0.894666666667,0.04601360544216326,0.14798343596686753,0.917308318952
PB2015.9148.7,1.713,0.0503873598368815,0.1681025672795359,0.91896714286
PB2015.12131.1,2.32566666667,0.6252636165574684,0.5719366895370112,0.504656574658
PB2015.8184.3,3.17933333333,0.5285470085467562,0.7918524531872745,0.714085978704
PB2015.11184.2,0.895,0.1347172995780886,0.20362018286730948,0.721844085902
PB2015.11251.4,1.73066666667,0.22606249999990374,0.35962037890948784,0.729983642061
PB2015.7193.18,NA,NA,NA,NA
PB2015.13568.13,0.676,0.16306060606060682,0.18618228015775137,0.608022709909
PB2015.13568.11,0.665666666667,0.16115288220551055,0.1829179505325558,0.605254738713
PB2015.13568.10,0.686333333333,0.16326997245179006,0.17890605911270088,0.577013925077
PB2015.13568.14,0.685,0.170146551724115,0.17942112798184973,0.559258414822
PB2015.2442.3,0.603333333333,0.11249462365584838,0.16056506114335956,0.689462941151
PB2015.16169.1,0.277333333333,0.08818421052626317,0.10076841312645508,0.605053741486
PB2015.13568.19,0.655,0.1885714285714,0.16542373817541167,0.480906204906
PB2015.2442.6,0.628,0.0306458333333125,0.09428819887409877,0.896971552047
PB2015.2442.4,0.586,0.11671794871787308,0.15779776336269905,0.658315871299
PB2015.3542.5,0.938333333333,0.10251813471501038,0.15230179353757323,0.696533914614
PB2015.3542.4,0.955333333333,0.09025696969694182,0.1476251197688807,0.738915029265
PB2015.3542.7,0.927,0.09759077380960268,0.1522780674151146,0.719577629736
PB2015.3542.6,0.945333333333,0.08441981132071226,0.14802588576656237,0.763304995075
