transcript,control_CDS_max,control_CDS_average,control_CDS_std,control_CDS_gini
PB2015.11900.2,3.40633333333,0.2068077154913165,0.4462216808084658,0.822528536747
PB2015.3481.2,1.288,0.324565284178212,0.33202826233213584,0.55794174284
PB2015.15855.1,1.83633333333,0.14564705882354412,0.2894195436964238,0.797398627037
PB2015.10369.2,1.808,0.49594791666662363,0.3995464944439837,0.453113185503
PB2015.12578.3,2.53066666667,0.4300551876380762,0.5060000856980664,0.602435508097
PB2015.15258.1,1.72466666667,0.289256688358621,0.362157675774858,0.636431808066
PB2015.7881.1,1.461,0.3609642264866078,0.3038767241429043,0.470698633287
PB2015.15067.1,2.26133333333,0.1800418308010184,0.31884089327811266,0.761949732098
PB2015.862.8,1.45233333333,0.4538526570048426,0.31479114197409985,0.393912828911
PB2015.12059.4,1.61933333333,0.26481419457736366,0.32952564425023734,0.632792125098
PB2015.862.4,1.452,0.457630606860165,0.31506681945670223,0.391185910752
PB2015.862.1,1.455,0.4571371882086104,0.3168412150522972,0.393758235347
PB2015.14374.3,2.52266666667,0.36190430622017705,0.45679308880920727,0.633819916093
PB2015.14374.2,2.467,0.35453429027125843,0.4473593061189597,0.633971539395
PB2015.13571.3,1.42733333333,0.2835684147076354,0.3128322783040646,0.581293646377
PB2015.13571.2,1.597,0.31779347826099075,0.35080604105954916,0.581632438371
PB2015.13571.5,1.37466666667,0.27342435201932497,0.3018527024927252,0.581428552174
PB2015.13571.4,1.383,0.2758300180832105,0.3039435212237266,0.580704104998
PB2015.13571.6,1.47466666667,0.2929698613622641,0.3230148943266026,0.580980326396
PB2015.6745.2,1.56066666667,0.3149087837837925,0.31685120482484946,0.542371833658
PB2015.8409.4,1.992,0.1358561371288347,0.2707796923457951,0.803219743701
PB2015.8409.2,2.82066666667,0.1941969975490745,0.38381557222673285,0.800346832968
PB2015.13551.4,1.528,0.3795811669555201,0.3394597621302721,0.49672077155
PB2015.7358.2,1.87833333333,0.21363003003002884,0.31767297426376956,0.703524595516
PB2015.13551.2,1.49166666667,0.3944817104585558,0.3269566980996254,0.463059550715
PB2015.6294.2,1.35766666667,0.4513714661406657,0.35897614693227126,0.453387528055
PB2015.7358.1,1.77366666667,0.2015411411411099,0.30009585665633254,0.704209990672
PB2015.9903.1,1.494,0.4035801687763888,0.3220498890783634,0.447058383387
PB2015.16625.2,3.65,0.17275502425510394,0.49905738583830594,0.900737373943
PB2015.4999.2,1.759,0.32591690544406793,0.35243517394625795,0.566349728399
PB2015.4999.3,1.664,0.3116398467433047,0.33642518450971615,0.565255106194
PB2015.4999.4,2.00866666667,0.3720630372493012,0.40241845433651385,0.566415366493
PB2015.11270.1,1.3,0.2241411889597038,0.2782492624253376,0.629380623091
PB2015.1346.4,3.535,0.6035217391305653,0.673065673140298,0.578572751706
PB2015.11270.2,1.348,0.23268046709122928,0.28893772820297337,0.629633562899
PB2015.1346.1,2.83466666667,0.4844267310788503,0.539967300728044,0.578399017607
PB2015.1346.2,3.18533333333,0.5728921095008053,0.626423079955918,0.574027937432
PB2015.16525.1,1.472,0.35760404624277947,0.334446219677252,0.509785617189
PB2015.3495.7,1.67,0.3424591356439919,0.3329487436994302,0.521265177403
PB2015.3495.1,1.633,0.33733846153847774,0.32559538447234804,0.51837768602
PB2015.15926.1,1.934,0.21965420560745127,0.31676282871159256,0.687962013888
PB2015.5547.2,1.483,0.3996439393939098,0.3486527333959222,0.484795694005
PB2015.7895.1,1.49566666667,0.428755214482476,0.33879927480276767,0.445664137344
PB2015.14235.9,1.42966666667,0.26039605355881607,0.2675348693752732,0.550763971525
PB2015.14235.7,1.49166666667,0.27930725863279,0.28486961278770073,0.547347887967
PB2015.14235.5,1.49733333333,0.27527906976744454,0.2819482642151475,0.548864359652
PB2015.14235.4,1.436,0.2609298245613522,0.26918329890386317,0.551983597264
PB2015.14235.3,1.42366666667,0.2678160676532628,0.27123104499678297,0.544031806285
PB2015.14235.2,1.39566666667,0.2582283298096814,0.2630743921237381,0.546158055454
PB2015.13512.2,2.14966666667,0.1700430958663773,0.3490878177545618,0.818958854736
PB2015.16090.1,1.25266666667,0.4626873385012709,0.28535978243213445,0.349622187184
PB2015.5789.3,2.224,0.4516861313869269,0.3805144070906593,0.461394924868
PB2015.15988.1,2.24166666667,0.2876588050313764,0.40674382122119557,0.668255653669
PB2015.11213.8,1.60866666667,0.28832132132128574,0.29615356003316434,0.547197305105
PB2015.8520.1,1.58466666667,0.43352873563223226,0.3742785774213661,0.482519493583
PB2015.11705.2,1.96266666667,0.3011028853454885,0.329374843555077,0.57062125234
PB2015.9070.1,1.229,0.42346899224800216,0.30506472976816573,0.41087156886
PB2015.1030.1,1.943,0.2786470862470383,0.3494536687374279,0.634277993421
PB2015.12266.1,1.699,0.1750845070422619,0.28232561040772924,0.734761954499
PB2015.1030.3,2.03766666667,0.27014383202097003,0.34109744088283506,0.633553928097
PB2015.1030.5,1.96266666667,0.3212092675634805,0.3802349076639496,0.61085382135
PB2015.1030.6,1.92933333333,0.3154514200298818,0.3732455127150692,0.610649725397
PB2015.6815.2,1.65966666667,0.4483256172839451,0.3991617714617114,0.494037440535
PB2015.2842.1,1.76066666667,0.3201122674235661,0.3060887463208338,0.517797355936
PB2015.4296.2,3.14166666667,0.35398653998416485,0.5207313026430036,0.695488455343
PB2015.4296.3,3.15166666667,0.35531908155195624,0.5225518579448154,0.695426848426
PB2015.1020.2,1.30933333333,0.4376982456139995,0.3308716313460102,0.427363071149
PB2015.1020.3,1.368,0.5118156682027845,0.3383359656058236,0.377521470025
PB2015.1020.1,1.38733333333,0.39546304675713034,0.3290378164168818,0.468611375809
